date,fedfunds,permit,year,month,rate_change,permit_pct_change,period
2019-01-01,2.4,1254.0,2019,1,,,Pre-COVID
2019-02-01,2.4,1286.0,2019,2,0.0,2.551834130781505,Pre-COVID
2019-03-01,2.41,1295.0,2019,3,0.010000000000000231,0.6998444790046632,Pre-COVID
2019-04-01,2.42,1322.0,2019,4,0.009999999999999787,2.0849420849420763,Pre-COVID
2019-05-01,2.39,1347.0,2019,5,-0.029999999999999805,1.8910741301058964,Pre-COVID
2019-06-01,2.38,1299.0,2019,6,-0.010000000000000231,-3.563474387527843,Pre-COVID
2019-07-01,2.4,1379.0,2019,7,0.020000000000000018,6.158583525789063,Pre-COVID
2019-08-01,2.13,1482.0,2019,8,-0.27,7.469180565627265,Pre-COVID
2019-09-01,2.04,1469.0,2019,9,-0.08999999999999986,-0.8771929824561431,Pre-COVID
2019-10-01,1.83,1523.0,2019,10,-0.20999999999999996,3.6759700476514556,Pre-COVID
2019-11-01,1.55,1535.0,2019,11,-0.28,0.7879185817465606,Pre-COVID
2019-12-01,1.55,1443.0,2019,12,0.0,-5.993485342019545,Pre-COVID
2020-01-01,1.55,1495.0,2020,1,0.0,3.603603603603611,Pandemic
2020-02-01,1.58,1455.0,2020,2,0.030000000000000027,-2.6755852842809347,Pandemic
2020-03-01,0.65,1346.0,2020,3,-0.93,-7.491408934707899,Pandemic
2020-04-01,0.05,1076.0,2020,4,-0.6,-20.0594353640416,Pandemic
2020-05-01,0.05,1250.0,2020,5,0.0,16.17100371747211,Pandemic
2020-06-01,0.08,1334.0,2020,6,0.03,6.719999999999993,Pandemic
2020-07-01,0.09,1546.0,2020,7,0.009999999999999995,15.892053973013498,Pandemic
2020-08-01,0.1,1533.0,2020,8,0.010000000000000009,-0.8408796895213455,Pandemic
2020-09-01,0.09,1636.0,2020,9,-0.010000000000000009,6.7188519243313705,Pandemic
2020-10-01,0.09,1613.0,2020,10,0.0,-1.4058679706601462,Pandemic
2020-11-01,0.09,1703.0,2020,11,0.0,5.5796652200867936,Pandemic
2020-12-01,0.09,1752.0,2020,12,0.0,2.877275396359358,Pandemic
2021-01-01,0.09,1855.0,2021,1,0.0,5.8789954337899575,Pandemic
2021-02-01,0.08,1711.0,2021,2,-0.009999999999999995,-7.762803234501348,Pandemic
2021-03-01,0.07,1756.0,2021,3,-0.009999999999999995,2.630040911747522,Pandemic
2021-04-01,0.07,1721.0,2021,4,0.0,-1.9931662870159461,Pandemic
2021-05-01,0.06,1703.0,2021,5,-0.010000000000000009,-1.045903544450899,Pandemic
2021-06-01,0.08,1654.0,2021,6,0.020000000000000004,-2.877275396359369,Pandemic
2021-07-01,0.1,1658.0,2021,7,0.020000000000000004,0.24183796856105388,Pandemic
2021-08-01,0.09,1736.0,2021,8,-0.010000000000000009,4.704463208685161,Pandemic
