date,permit
2019-01-01,1254.0
2019-02-01,1286.0
2019-03-01,1295.0
2019-04-01,1322.0
2019-05-01,1347.0
2019-06-01,1299.0
2019-07-01,1379.0
2019-08-01,1482.0
2019-09-01,1469.0
2019-10-01,1523.0
2019-11-01,1535.0
2019-12-01,1443.0
2020-01-01,1495.0
2020-02-01,1455.0
2020-03-01,1346.0
2020-04-01,1076.0
2020-05-01,1250.0
2020-06-01,1334.0
2020-07-01,1546.0
2020-08-01,1533.0
2020-09-01,1636.0
2020-10-01,1613.0
2020-11-01,1703.0
2020-12-01,1752.0
2021-01-01,1855.0
2021-02-01,1711.0
2021-03-01,1756.0
2021-04-01,1721.0
2021-05-01,1703.0
2021-06-01,1654.0
2021-07-01,1658.0
2021-08-01,1736.0
2021-09-01,1640.0
2021-10-01,1707.0
2021-11-01,1765.0
2021-12-01,1919.0
2022-01-01,1920.0
2022-02-01,1857.0
2022-03-01,1868.0
2022-04-01,1859.0
2022-05-01,1704.0
2022-06-01,1737.0
2022-07-01,1703.0
2022-08-01,1557.0
2022-09-01,1600.0
2022-10-01,1594.0
2022-11-01,1401.0
2022-12-01,1410.0
2023-01-01,1410.0
2023-02-01,1618.0
2023-03-01,1480.0
2023-04-01,1474.0
2023-05-01,1575.0
2023-06-01,1464.0
2023-07-01,1522.0
2023-08-01,1561.0
2023-09-01,1537.0
2023-10-01,1528.0
2023-11-01,1503.0
2023-12-01,1519.0
2024-01-01,1545.0
2024-02-01,1577.0
2024-03-01,1476.0
2024-04-01,1459.0
2024-05-01,1407.0
2024-06-01,1461.0
2024-07-01,1436.0
2024-08-01,1476.0
2024-09-01,1434.0
2024-10-01,1428.0
2024-11-01,1508.0
2024-12-01,1480.0
